D11,GPIOA4_PHYLINK,Out,ASUS_BMC_CTL_LOCKOUT_N,"Lock out BMC access to board controls.  Active low"
A11,GPIOB1_FLBUSY#,Out,CTL_REQ_POWERUP_N,"Engage mainboard power.  Active low"
D9,GPIOB6_VBDO,Out,CTL_REQ_RESET_N,"Reset mainboard.  Active low"
V4,GPIOF0_VP8,Out,CTL_REQ_POWERDOWN_N,"Forcibly power off mainboard.  Active low"
W4,GPIOF4_VP12,Out,CTL_REQ_SPD_MUX_S1,"SPD mux pin S1"
W3,GPIOF5_VP13,Out,CTL_REQ_SPD_MUX_S0,"SPD mux pin S0"
T4,GPIOE3_VP3,Out,LED_ERR_CPU1_N,"CPU1 error indicator"
R1,GPIOE2_VP2,Out,LED_ERR_CPU2_N,"CPU2 error indicator"
R2,GPIOE1_VP1,Out,LED_STA_BMC_N,"BMC status LED"
Y4,GPIOG0_VP16,Out,LED_STA_LOC_N,"BMC locator LED"
Y3,GPIOG1_VP17,In,USR_SW_LOC_N,"BMC locator switch"
A12,GPIOH2_SDA7,In,STA_LINE_POWER,"Mainboard power status.  1 = power on, 0= power off.  (I2C bus power)"
